,source,target,year,weight
26598,daiwa capital markets trading hong kong limited,barclays capital asia limited,2004,1
26599,citigroup global markets hong kong futures and securities limited,segantii capital management limited,2019,1
26600,segantii capital management limited,citigroup global markets asia limited,2013,1
26601,bullish securities limited,welform investors company,nan,1
26602,welform investors company,raffaello securities (hk) limited,2005,1
26603,oneplatform asset management limited,manulife investment management (hong kong) limited,2018,1
26604,cmb international global markets limited,"china merchants securities (hk) co., limited",2011,1
26605,"china merchants securities (hk) co., limited",cmb international securities limited,2018,1
26606,tung shing securities (brokers) limited,rhb securities hong kong limited,2005,1
26607,rhb securities hong kong limited,cinda international securities limited,2020,1
26608,capitec securities limited,cvp securities limited,2006,1
26609,bright smart securities international (h.k.) limited,beijing securities limited,2004,1
26610,leonteq securities (hong kong) limited,goldman sachs (asia) l.l.c.,2010,1
26611,merrill lynch far east limited,morgan stanley hong kong securities limited,2007,1
26612,oci asset management company limited,apollo asset management limited (hk),2015,1
26613,apollo asset management limited (hk),space securities limited,2018,1
26614,space securities limited,cupola capital limited,2016,1
26615,cupola capital limited,oci asset management company limited,2020,1
26616,formax asset management limited,oci asset management company limited,2019,1
26617,celestial securities limited,china enterprise securities company limited,2020,1
26618,"hantec securities co., limited",kgi asia limited,2010,1
26619,paochu investment advisory limited,eddid securities and futures limited,2019,1
26620,eddid securities and futures limited,guo tong capital management company limited,2016,1
26621,amtd global markets limited,ubs securities asia limited,2015,1
26622,oneplatform asset management limited,fwd financial planning limited (hk),2015,1
26623,fwd financial planning limited (hk),oneplatform asset management limited,2013,1
26624,oneplatform asset management limited,fwd financial planning limited (hk),2015,1
26625,china everbright securities (hk) limited,kgi asia limited,2008,1
26626,phillip commodities (h.k.) limited,kgi asia limited,2017,1
26627,eip alpha limited,enhanced investment products limited,2020,1
26628,ward ferry management limited,income partners asset management (hk) limited,2008,1
26629,schroder investment management (hong kong) limited,pictet asset management (hong kong) limited,2021,1
26630,"china galaxy international securities (hong kong) co., limited",piper jaffray asia securities limited,2011,1
26631,core pacific - yamaichi international (h.k.) limited,ibest consultants limited,2011,1
26632,ewarton securities limited,kwai hung securities company limited,nan,1
26633,daiwa capital markets hong kong limited,abci securities company limited,nan,1
26634,yu ming investment management limited,kgi capital asia limited,2011,1
26635,evergrande securities (hong kong) limited,core pacific-yamaichi capital limited,2018,1
26636,evergrande securities (hong kong) limited,bocom international (asia) limited,2016,1
26637,morgan stanley asia limited,mcp asset management company limited,2006,1
26638,kgi asia limited,haitong international futures limited,nan,1
26639,goldbridge securities limited,bocom international holdings company limited,2005,1
26640,ballingal investment advisors limited,renaissance capital (hong kong) limited,2012,1
26641,kgi asia limited,haitong international securities company limited,2008,1
26642,wellington management hong kong limited (b2003-01-02),manulife investment management (hong kong) limited,2014,1
26643,bright smart futures & commodities company limited,east asia securities company limited,2007,1
26644,merrill lynch (asia pacific) limited,lehman brothers asia limited,2007,1
26645,lehman brothers asia limited,barclays capital asia limited,2009,1
26646,citic securities futures (hk) limited,segantii capital management limited,2017,1
26647,segantii capital management limited,millennium capital management (hong kong) limited,2020,1
26648,platinum securities company limited,bnp paribas capital (asia pacific) limited,2007,1
26649,boci asia limited,"china merchants securities (hk) co., limited",2012,1
26650,fe securities limited,one china securities limited,2005,1
26651,tung shing securities (brokers) limited,kgi asia limited,2016,1
26652,dbs vickers (hong kong) limited,citic securities brokerage (hk) limited,2004,1
26653,citic securities brokerage (hk) limited,everbright securities investment services (hk) limited,2018,1
26654,everbright securities investment services (hk) limited,core pacific - yamaichi international (h.k.) limited,2017,1
26655,berich brokerage limited,bright smart securities international (h.k.) limited,2011,1
26656,vc futures limited,china tonghai securities limited,2011,1
26657,china tonghai securities limited,sino capital securities limited,2010,1
26658,sino capital securities limited,shenwan hongyuan futures (h.k.) limited,nan,1
26659,shenwan hongyuan futures (h.k.) limited,rhb securities hong kong limited,2007,1
26660,kgi futures (hong kong) limited,oneplatform asset management limited,2008,1
26661,cupola capital limited,c.m. capital advisors (hk) limited,2022,1
26662,c.m. capital advisors (hk) limited,vc brokerage limited,2015,1
26663,foundation asset management (hk) limited,cupola capital limited,2020,1
26664,wilson securities limited,ces commodities (hk) limited,2018,1
26665,chief commodities limited,celestial commodities limited,2007,1
26666,polaris capital (asia) limited,guotai junan capital limited,2013,1
26667,guotai junan capital limited,china everbright capital limited,2011,1
26668,china everbright capital limited,guotai junan capital limited,2021,1
26669,guotai junan capital limited,advent corporate finance limited (gben),2018,1
26670,advent corporate finance limited (gben),yuanta asia investment (hong kong) limited,2010,1
26671,soochow securities international brokerage limited,phillip commodities (h.k.) limited,2010,1
26672,soochow securities international futures limited,phillip securities (hong kong) limited,2011,1
26673,everbright securities investment services (hk) limited,cif securities futures limited,2020,1
26674,cif securities futures limited,haitong international securities company limited,2010,1
26675,haitong international securities company limited,shenwan hongyuan futures (h.k.) limited,2013,1
26676,shenwan hongyuan futures (h.k.) limited,fulbright securities limited,2019,1
26677,fulbright securities limited,i win asset management limited,2021,1
26678,i win asset management limited,phillip securities (hong kong) limited,2009,1
26679,wm (hk) limited,fwd life insurance company (bermuda) limited,2008,1
26680,patterson financial services limited,fdb financial group limited,nan,1
26681,csi global markets limited,nomura international (hong kong) limited,2017,1
26682,clsa limited,kingsway financial services group limited,2011,1
