,source,target,year,weight
30098,kgi asia limited,centaline wealth management limited,2005,1
30099,emperor futures limited,eastin asset management limited,2020,1
30100,eastin asset management limited,zhongtai international asset management limited,2015,1
30101,veda capital limited (hk),fortune financial capital limited,2012,1
30102,fortune financial capital limited,incu corporate finance limited,2016,1
30103,incu corporate finance limited,veda capital limited (hk),2009,1
30104,veda capital limited (hk),kingston corporate finance limited,2005,1
30105,president securities (hong kong) limited,eaa securities limited,2004,1
30106,eaa securities limited,kgi wealth management limited (d2017-10-03),nan,1
30107,futu securities international (hong kong) limited,china industrial securities international brokerage limited,2015,1
30108,china vered asset management (hong kong) limited,victory securities company limited,2018,1
30109,china everbright securities asset management limited,zhongtai international financial products limited,2021,1
30110,icbc asset management (global) company limited,gf international investment management limited,2019,1
30111,citigroup global markets asia limited,merrill lynch (asia pacific) limited,2011,1
30112,luen fat futures (h.k.) limited,uob kay hian futures (hong kong) limited,2009,1
30113,uob kay hian futures (hong kong) limited,yuanta asia investment (hong kong) limited,2007,1
30114,hong kong securities (international) company limited,asset management group limited,2011,1
30115,rifa securities limited,"caitong international securities co., limited",2012,1
30116,virtu itg hong kong limited,hsbc securities brokers (asia) limited,2020,1
30117,veda capital limited (hk),merdeka corporate finance limited,2019,1
30118,fil investment management (hong kong) limited,interactive brokers hong kong limited,2015,1
30119,vbg capital limited,ceb international capital corporation limited,2017,1
30120,ceb international capital corporation limited,mizuho securities asia limited,2018,1
30121,csop asset management limited,huobi asset management (hong kong) limited,2021,1
30122,"anglo chinese corporate finance, limited (hk)",optima capital limited,2011,1
30123,merrill lynch far east limited,hsbc securities brokers (asia) limited,2021,1
30124,cinda international securities limited,rhb securities hong kong limited,2015,1
30125,rhb securities hong kong limited,ifast global markets (hk) limited,2022,1
30126,ifast global markets (hk) limited,fwd financial planning limited (hk),2011,1
30127,gam hong kong limited,schroder investment management (hong kong) limited,2011,1
30128,bnp paribas capital (asia pacific) limited,hsbc corporate finance (hong kong) limited,2012,1
30129,citigroup global markets asia limited,credit suisse (hong kong) limited,2009,1
30130,elezeno capital limited,goldman sachs (asia) l.l.c.,2007,1
30131,j.p. morgan broking (hong kong) limited,ubs securities asia limited,2010,1
30132,dbs vickers (hong kong) limited,mizuho securities asia limited,2014,1
30133,cantor fitzgerald (hong kong) capital markets limited,gfi (hk) securities l.l.c.,2009,1
30134,"capital international, inc.",m&g investments (hong kong) limited,2014,1
30135,m&g investments (hong kong) limited,"capital international, inc.",2018,1
30136,citigroup global markets asia limited,barclays capital asia limited,2013,1
30137,morgan stanley hong kong futures limited,crosby wealth management (hong kong) limited,2006,1
30138,merrill lynch far east limited,zerobridge partners advisory limited,2021,1
30139,sg asset finance (hong kong) limited,t.f.s. derivatives hk limited,2010,1
30140,point72 hong kong limited,horizon asset international (hk) limited,2013,1
30141,pacific alliance investment management (hk) limited,haitong international securities company limited,2019,1
30142,haitong international securities company limited,cdh investments management (hong kong) limited,2018,1
30143,fortune (hk) securities limited,prior asset management limited,2019,1
30144,zhongrong international capital management limited,barclays capital asia limited,2012,1
30145,boci asia limited,china securities (international) corporate finance company limited,2019,1
30146,china securities (international) corporate finance company limited,clsa limited,2021,1
30147,m3 capital partners (hk) limited,macquarie capital limited,2013,1
30148,lehman brothers asia limited,cmb international capital holdings corporation limited,2009,1
30149,core pacific - yamaichi international (h.k.) limited,asset management group limited,2021,1
30150,asset management group limited,oneplatform asset management limited,2012,1
30151,double s capital limited,taikang asset management (hong kong) company limited,2012,1
30152,taikang asset management (hong kong) company limited,pacific eagle asset management limited,2018,1
30153,citigroup global markets asia limited,rothschild & co hong kong limited,2020,1
30154,cmb international securities limited,citigroup global markets asia limited,2005,1
30155,orient futures (hong kong) limited,amtd global markets limited,2013,1
30156,natixis asia limited,rothschild & co hong kong limited,2021,1
30157,orient securities (hong kong) limited,kaisa financial group company limited,2020,1
30158,kaisa financial group company limited,essence international securities (hong kong) limited,2021,1
30159,essence international securities (hong kong) limited,southwest securities (hk) futures limited,2017,1
30160,guosen securities (hk) capital company limited,rhb capital hong kong limited,2015,1
30161,orient securities (hong kong) limited,"china merchants securities (hk) co., limited",2021,1
30162,cowell & lee capital management limited,credit suisse (hong kong) limited,2006,1
30163,merrill lynch far east limited,balyasny asset management (hong kong) limited,2022,1
30164,fidelity management & research (hong kong) limited,springhill fund asset management (hk) company limited,2021,1
30165,springhill fund asset management (hk) company limited,fidelity management & research (hong kong) limited,2020,1
30166,merrill lynch far east limited,tj investment management (hk) limited,2018,1
30167,merrill lynch (asia pacific) limited,nomura international (hong kong) limited,2012,1
30168,"china merchants securities (hk) co., limited",ccb international securities limited,2017,1
30169,ccb international securities limited,haitong international research limited,2012,1
30170,china asset management (hong kong) limited,zhongtai international securities limited,2016,1
30171,zhongtai international securities limited,harmony capital global asset management limited,2017,1
30172,value partners limited,atlantis investment management limited (hk),2018,1
30173,atlantis investment management limited (hk),harvest global investments limited,2020,1
30174,huarong international asset management limited,guotai junan securities (hong kong) limited,2018,1
30175,kgi asia limited,phillip securities (hong kong) limited,2015,1
30176,phillip securities (hong kong) limited,kgi asia limited,2007,1
30177,taikang asset management (hong kong) company limited,guosen securities (hk) asset management company limited,2012,1
30178,goldman sachs (asia) l.l.c.,wells fargo securities asia limited,2009,1
30179,credit suisse (hong kong) limited,clc securities limited,2015,1
30180,"china life franklin asset management co., limited",blackrock (hong kong) limited (d2017-01-20),2008,1
30181,blackrock (hong kong) limited (d2017-01-20),china asset management (hong kong) limited,2010,1
30182,soochow securities international futures limited,china securities (international) brokerage company limited,2015,1
30183,essence corporate finance (hong kong) limited,heungkong capital limited,2018,1
30184,heungkong capital limited,futec financial limited,2019,1
30185,bgc securities (hong kong) llc,shinhan investment asia limited,2018,1
30186,shinhan investment asia limited,t.f.s. derivatives hk limited,2021,1
30187,boci asia limited,zhongtai international securities limited,2021,1
30188,bnp paribas capital (asia pacific) limited,ivory capital private limited,2010,1
30189,citigroup global markets hong kong futures and securities limited,gf securities (hong kong) brokerage limited,2010,1
30190,china renaissance securities (hong kong) limited,morgan stanley asia limited,2008,1
30191,credit suisse (hong kong) limited,barclays capital asia limited,2013,1
30192,credit suisse (hong kong) limited,china renaissance securities (hong kong) limited,2020,1
30193,haitong international securities company limited,kpmg corporate finance limited,2020,1
30194,morgan stanley asia limited,barclays capital asia limited,2016,1
30195,first shanghai capital limited,ccb international asset management limited,2006,1
30196,natixis asia limited,merrill lynch (asia pacific) limited,2007,1
30197,zheng da international financial holding limited,shinco capital limited,2018,1
30198,xin hua securities (hong kong) limited,"hgnh international securities co., limited",2016,1
30199,morgan stanley asia limited,daiwa capital markets hong kong limited,2008,1
30200,grand capital securities limited,china securities (international) brokerage company limited,2021,1
30201,china securities (international) brokerage company limited,evergrande futures (hong kong) limited,2017,1
30202,china renaissance securities (hong kong) limited,cmb international capital limited,2021,1
30203,cmb international capital limited,goldman sachs (asia) l.l.c.,2012,1
30204,china securities (international) brokerage company limited,bocom international asset management limited,2019,1
30205,goldman sachs (asia) l.l.c.,china international capital corporation hong kong securities limited,2019,1
30206,bnp paribas securities (asia) limited,willis towers watson securities (hong kong) limited,2016,1
30207,credit suisse (hong kong) limited,jpmorgan asset management (asia pacific) limited,2015,1
30208,china vered securities limited,icbc international capital limited,2011,1
30209,blackrock asset management north asia limited,harbourvest partners (asia) limited,2014,1
30210,ubs securities hong kong limited,goldman sachs (asia) l.l.c.,2021,1
30211,ubs securities hong kong limited,merrill lynch far east limited,2010,1
30212,merrill lynch far east limited,clsa capital markets limited,2017,1
30213,deutsche securities asia limited,kbc alternative investment management hk limited,2007,1
30214,kbc alternative investment management hk limited,deutsche securities asia limited,2006,1
30215,nomura international (hong kong) limited,macquarie corporate (hong kong) limited,2013,1
30216,robeco hong kong limited,abn amro financial products limited,2007,1
30217,raffaello securities (hk) limited,fairwin broking limited,2021,1
30218,fairwin broking limited,upbest securities company limited,2007,1
30219,chief securities limited,fairwin broking limited,2018,1
30220,hsbc global asset management (hong kong) limited,uob kay hian (hong kong) limited,2011,1
30221,uob kay hian (hong kong) limited,daiwa capital markets hong kong limited,2013,1
30222,lizen asset management limited,ubs securities hong kong limited,2016,1
30223,ubs derivatives hong kong limited,schonfeld strategic advisors (hong kong) limited,2020,1
30224,lizen asset management limited,hel ved capital management limited,2022,1
30225,pinebridge investments asia limited,nexus point advisors (hk) limited,2017,1
30226,nexus point advisors (hk) limited,soho investment partners (h.k.) limited,2014,1
30227,ces commodities (hk) limited,jvsakk asset management limited,2008,1
30228,ucap hong kong asset management limited,silverhorn investment advisors limited,2021,1
30229,pinpoint asset management limited,cqs (hong kong) limited,2011,1
30230,standard life investments (asia) limited,pinebridge investments asia limited,2008,1
30231,pinebridge investments asia limited,hsz (hong kong) limited,2006,1
30232,hsz (hong kong) limited,ara asset management (prosperity) limited,2005,1
30233,credit suisse (hong kong) limited,hsbc corporate finance (hong kong) limited,2019,1
30234,hsbc corporate finance (hong kong) limited,deutsche securities asia limited,2012,1
30235,oneplatform asset management limited,aem asset management limited,2018,1
30236,saining capital management company limited,oneplatform asset management limited,2015,1
30237,karst peak capital limited,fintech investment group limited,2022,1
30238,core pacific-yamaichi securities (h.k.) limited,neutral financial holding company limited,2015,1
30239,asian capital limited,neutral financial holding company limited,2016,1
30240,haitong international futures limited,credit suisse (hong kong) limited,2008,1
30241,mcm asia limited,kgi futures (hong kong) limited,2014,1
30242,kgi futures (hong kong) limited,credit suisse futures (hong kong) limited,2005,1
30243,credit suisse futures (hong kong) limited,citic securities futures (hk) limited,2021,1
30244,daiwa capital markets hong kong limited,kbc financial products hong kong limited,2006,1
30245,"frontpoint management (hong kong), ltd.",op investment management limited,2009,1
30246,op investment management limited,sofaer global research (hk) limited,nan,1
30247,sofaer global research (hk) limited,formula growth asia limited,2010,1
30248,renaissance capital (hong kong) limited,templewater hong kong limited,2013,1
30249,icap securities hong kong limited,kgi asia limited,nan,1
30250,merrill lynch far east limited,segantii capital management limited,2018,1
30251,morgan stanley hong kong futures limited,dragon capital management (hk) limited,2015,1
30252,nomura securities (hong kong) limited,hsbc securities brokers (asia) limited,2009,1
30253,hsbc securities brokers (asia) limited,instinet pacific limited,2012,1
30254,instinet pacific limited,nomura international (hong kong) limited,2014,1
30255,nomura international (hong kong) limited,instinet pacific limited,2019,1
30256,credit suisse (hong kong) limited,ubs derivatives hong kong limited,2011,1
30257,point72 hong kong limited,man investments (hong kong) limited,2013,1
30258,brevan howard (hong kong) limited,barclays capital asia limited,2012,1
30259,pacific alliance investment management (hk) limited,thaddeus capital management (hk) limited,2007,1
30260,thaddeus capital management (hk) limited,centaurus capital (hong kong) limited,2012,1
30261,macquarie capital limited,blackstone group (hk) limited (the),2010,1
30262,ballingal investment advisors limited,biz corp limited,nan,1
30263,biz corp limited,overlook investments limited,2007,1
30264,superfund financial (hong kong) limited,rostrum grand limited,2021,1
30265,fil investment advisors,nomura international (hong kong) limited,2021,1
30266,daiwa capital markets hong kong limited,bnp paribas peregrine futures limited,nan,1
30267,mc financial services limited (gben),equities first holdings hong kong limited,2019,1
30268,equities first holdings hong kong limited,mc financial services limited (gben),2021,1
30269,gl advisors hong kong limited,merrill lynch (asia pacific) limited,2006,1
30270,"keefe, bruyette & woods asia limited",credit suisse securities (hong kong) limited,nan,1
30271,credit suisse (hong kong) limited,religare capital markets (hong kong) limited,2009,1
30272,citigroup global markets asia limited,sg securities (hk) limited,2007,1
30273,citigroup global markets asia limited,factorial management limited,2018,1
30274,merrill lynch futures (hong kong) limited,lgt investment management (asia) limited,2011,1
30275,jefferies hong kong limited,clsa limited,2013,1
30276,morgan stanley asia limited,goldman sachs (asia) securities limited,2016,1
30277,comprador limited (hk),blackstone group (hk) limited (the),2008,1
30278,blackstone group (hk) limited (the),lehman brothers asia limited,2006,1
30279,lehman brothers asia limited,comprador limited (hk),2018,1
30280,merrill lynch futures (hong kong) limited,j.p. morgan broking (hong kong) limited,2016,1
30281,j.p. morgan broking (hong kong) limited,merrill lynch far east limited,2015,1
30282,merrill lynch far east limited,nomura international (hong kong) limited,2009,1
30283,nomura international (hong kong) limited,clsa limited,2003,1
30284,janus henderson investors hong kong limited,pimco asia limited,2014,1
30285,merrill lynch far east limited,a1 capital partners limited,2017,1
30286,a1 capital partners limited,merrill lynch far east limited,2008,1
30287,merrill lynch futures (hong kong) limited,credit suisse (hong kong) limited,2018,1
30288,cantor fitzgerald (hong kong) capital markets limited,credit suisse (hong kong) limited,2020,1
30289,"am investment partners hk, limited",knight capital asia limited,2011,1
30290,standard life investments (hong kong) limited,abrdn hong kong limited,2018,1
30291,clsa asset management limited,bfam partners (hong kong) limited,2019,1
30292,citigroup global markets hong kong futures and securities limited,canaccord genuity (hong kong) limited,2012,1
30293,religare capital markets (hong kong) limited,citic securities brokerage (hk) limited,2010,1
30294,des asset management limited,op investment management limited,2007,1
30295,ukfp (asia) hk limited,private capital limited,2003,1
30296,etrade securities (hong kong) limited,louis capital markets (hong kong) limited,2007,1
30297,sunrise brokers (hong kong) limited,mf securities hong kong limited,2008,1
30298,t.f.s. derivatives hk limited,bgc securities (hong kong) llc,2019,1
30299,merrill lynch far east limited,blackstone group (hk) limited (the),2015,1
30300,ocp asia (hong kong) limited,omnix capital limited,2010,1
30301,sunrise brokers (hong kong) limited,nittan capital asia limited,2011,1
30302,haitong international securities company limited,global investment strategy hk limited,2021,1
30303,icap securities hong kong limited,everbright securities investment services (hk) limited,2012,1
30304,everbright securities investment services (hk) limited,religare capital markets (hong kong) limited,2015,1
30305,religare capital markets (hong kong) limited,mirabaud (asia) limited,2009,1
30306,morgan stanley hong kong securities limited,merrill lynch far east limited,2017,1
30307,instinet pacific limited,btig hong kong limited,2010,1
30308,sun life financial asia services limited,hfs asset management limited,2007,1
30309,hfs asset management limited,axa financial planning (hong kong) limited,2005,1
30310,actusraypartners limited,tt international (hong kong) limited,2007,1
30311,tt international (hong kong) limited,richlink capital (hong kong) limited,2015,1
30312,richlink capital (hong kong) limited,hakucapital global investment advisers limited,2019,1
30313,j.p. morgan broking (hong kong) limited,ubs securities asia limited,2005,1
30314,an zhong (az) investment management hong kong limited,gam hong kong limited,2003,1
30315,china eagle asset management limited,fdb financial group limited,nan,1
30316,fdb financial group limited,cheung on securities limited,2020,1
30317,cheung on securities limited,gam hong kong limited,2004,1
30318,sinolink securities (hong kong) company limited,citic securities brokerage (hk) limited,2013,1
30319,j.p. morgan broking (hong kong) limited,taiping assets management (hk) company limited,2018,1
30320,wisdom asset management limited (hk),target capital management limited (hk),2014,1
30321,js cresvale securities international limited,first securities (hk) limited,2017,1
30322,icea capital limited,icbc international capital limited,2009,1
30323,spdb international capital limited,abci capital limited,2014,1
30324,abci capital limited,spdb international capital limited,2016,1
30325,spdb international capital limited,sinopac securities (asia) limited,2013,1
30326,sinopac securities (asia) limited,china everbright securities (hk) limited,2019,1
30327,goldman sachs (asia) l.l.c.,morgan stanley asia limited,2021,1
30328,insight capital management (hong kong) limited,maunakai capital partners (hong kong) limited,2011,1
30329,nomura international (hong kong) limited,mizuho securities asia limited,2015,1
30330,haitong international investment managers limited,sinopac asset management (asia) limited,2012,1
30331,ccb international securities limited,"china merchants securities (hk) co., limited",2018,1
30332,citigroup global markets asia limited,hsbc corporate finance (hong kong) limited,2019,1
30333,macquarie capital limited,credit suisse securities (hong kong) limited,nan,1
30334,sheng yuan securities limited,vision finance (securities) limited,2012,1
30335,merrill lynch far east limited,credit suisse futures (hong kong) limited,2007,1
30336,ccb international capital limited,credit suisse (hong kong) limited,2008,1
30337,credit suisse (hong kong) limited,cmb international capital limited,2021,1
30338,kingston securities limited,china pa securities (hong kong) company limited,2019,1
30339,rothschild & co hong kong limited,clsa limited,2016,1
30340,tfi securities and futures limited,"china merchants securities (hk) co., limited",2016,1
30341,haitong international securities company limited,tfi asset management limited,2018,1
30342,morgan stanley asia limited,jefferies hong kong limited,2013,1
30343,jefferies hong kong limited,citigroup global markets asia limited,2003,1
30344,citigroup global markets asia limited,credit suisse (hong kong) limited,2010,1
30345,clc international limited,credit suisse (hong kong) limited,2006,1
30346,kbc financial products hong kong limited,sinopac asset management (asia) limited,2014,1
30347,blackrock asset management north asia limited,nomura asset management hong kong limited,2014,1
30348,hsbc structured funds (asia) limited,credit suisse (hong kong) limited,2011,1
30349,amtd global markets limited,haitong international securities company limited,2015,1
30350,haitong international securities company limited,bnp paribas securities (asia) limited,2018,1
30351,elstone capital limited,heungkong capital limited,2018,1
30352,boci research limited,citigroup global markets asia limited,2011,1
30353,sanford c. bernstein (hong kong) limited,wellington management hong kong limited (b2003-01-02),2022,1
30354,"china galaxy international securities (hong kong) co., limited",huatai financial holdings (hong kong) limited,2019,1
30355,huatai financial holdings (hong kong) limited,jpmorgan funds (asia) limited,2011,1
30356,mega capital (asia) company limited,tis securities (hk) limited,2010,1
30357,morgan stanley asia limited,china asset management (hong kong) limited,2017,1
30358,cncbi asset management limited,taikang asset management (hong kong) company limited,2013,1
30359,aberdeen international investment management limited,carlyle hong kong equity management limited,2012,1
30360,barclays capital asia limited,nomura international (hong kong) limited,2010,1
30361,venture smart asia limited,amtd global markets limited,2013,1
30362,icbc international securities limited,haitong international capital (hk) limited,2018,1
30363,fil investment advisors,fidelity management & research (hong kong) limited,2018,1
30364,oxbow capital management (hk) limited,samsung asset management (hong kong) limited,2019,1
30365,lehman brothers securities asia limited,barclays capital asia limited,2011,1
30366,nomura international (hong kong) limited,mcm asia limited,2014,1
30367,zjkf securities investment (hong kong) limited,kgi wealth management limited (d2017-10-03),2009,1
30368,kgi wealth management limited (d2017-10-03),pamirs capital (h.k.) limited,2012,1
30369,"kam fai securities co., limited",corporate brokers limited,2011,1
30370,corporate brokers limited,fulbright securities limited,2007,1
30371,first worldsec securities limited,sino-rich securities & futures limited,2014,1
30372,credit suisse (hong kong) limited,ubs securities asia limited,nan,1
30373,haitong international securities company limited,everbright securities investment services (hk) limited,2018,1
30374,boci securities limited,centaline wealth management limited,2006,1
30375,centaline wealth management limited,cash wealth management limited,2005,1
30376,vc brokerage limited,bocom international securities limited,2009,1
30377,robeco hong kong limited,ci global investments asia limited,2020,1
30378,fwd life insurance company (bermuda) limited,zurich advisory (hk) limited,2007,1
30379,cash wealth management limited,t g holborn (hk) limited,2007,1
30380,emperor securities limited,jimei securities limited,2015,1
30381,j.p. morgan securities (far east) limited,bnp paribas securities (asia) limited,2004,1
30382,uob kay hian futures (hong kong) limited,southwest securities (hk) futures limited,2014,1
30383,apg investments asia limited,halbis capital management (hong kong) limited,2007,1
30384,hsbc global asset management (hong kong) limited,tc investment management (asia) limited,2004,1
30385,cni securities group limited,koala securities limited,2015,1
30386,koala securities limited,zjkf securities investment (hong kong) limited,2021,1
30387,zjkf securities investment (hong kong) limited,rifa securities limited,2013,1
30388,rifa securities limited,upbest securities company limited,nan,1
30389,luen fat securities company limited,president securities (hong kong) limited,2006,1
30390,president securities (hong kong) limited,huarong international securities limited,2010,1
30391,huarong international securities limited,tc concord securities limited,2003,1
30392,hsbc investment funds (hong kong) limited,macquarie capital limited,2022,1
30393,guotai junan fx limited,boci securities limited,2012,1
30394,boci securities limited,haitong international securities company limited,2017,1
30395,seeds international asset management limited,riche bright securities limited,2018,1
30396,"quasar securities co., limited",core pacific - yamaichi international (h.k.) limited,2011,1
30397,core pacific - yamaichi international (h.k.) limited,kgi futures (hong kong) limited,2014,1
30398,iridium capital limited (hk),platinum broking company limited,2015,1
30399,sarasin investment management limited (d2013-12-09),lgt investment management (asia) limited,2011,1
30400,hang tang international capital management limited,boci securities limited,2018,1
30401,boci securities limited,hang tang international capital management limited,2019,1
30402,merrill lynch futures (hong kong) limited,goldman sachs (asia) securities limited,2011,1
30403,goldman sachs (asia) securities limited,deutsche securities asia limited,2004,1
30404,deutsche securities asia limited,goldman sachs (asia) l.l.c.,2010,1
30405,yuanta securities (hong kong) company limited,"china galaxy international securities (hong kong) co., limited",2015,1
30406,changjiang corporate finance (hk) limited,ample capital limited,2018,1
30407,ample capital limited,everbright securities investment services (hk) limited,2011,1
30408,gac global ecommerce services limited,target capital management limited (hk),2013,1
30409,jupiter asset management (hong kong) limited,blackrock (hong kong) limited (d2017-01-20),2008,1
30410,blackrock (hong kong) limited (d2017-01-20),first sentier investors (hong kong) limited,2011,1
30411,po lee securities limited,success futures and foreign exchange limited,2006,1
30412,shun loong futures limited,everbright securities investment services (hk) limited,2006,1
30413,yuzhou financial holdings limited,ruifeng securities limited,2018,1
30414,china everbright securities (hk) limited,ces commodities (hk) limited,2019,1
30415,pinebridge investments asia limited,ubs securities asia limited,2007,1
30416,quintar capital limited,securis capital limited,2021,1
30417,fosun hani securities limited,cinda international securities limited,2007,1
30418,state street global advisors asia limited,rbc investment services (asia) limited,2003,1
30419,rbc investment services (asia) limited,state street global advisors asia limited,2015,1
30420,founder asset management (hong kong) limited,boci securities limited,2014,1
30421,boci securities limited,founder futures (hong kong) limited,2020,1
30422,"china merchants securities (hk) co., limited",everbright securities investment services (hk) limited,2010,1
30423,mib futures (hong kong) limited,ces commodities (hk) limited,2011,1
30424,gram capital limited,vc capital limited,2017,1
30425,vc capital limited,f.e. corporate finance advisory limited,2016,1
30426,gf securities (hong kong) brokerage limited,abci capital limited,2014,1
30427,citic securities brokerage (hk) limited,china securities (international) brokerage company limited,2015,1
30428,jefferies hong kong limited,clsa limited,2016,1
30429,deutsche securities asia limited,bnp paribas securities (asia) limited,2013,1
30430,mirae asset securities (hk) limited,qantex capital markets limited,2019,1
30431,mirae asset securities (hk) limited,daewoo securities (hong kong) limited,2015,1
30432,mirae asset securities (hk) limited,kb securities hong kong limited,2020,1
30433,pinpoint asset management limited,red door capital management limited,2020,1
30434,bfin private advisors (hong kong) limited,brookfield advisors (hong kong) limited,2018,1
30435,bear stearns asia limited,credit agricole securities (asia) limited,2010,1
30436,credit agricole securities (asia) limited,citigroup global markets asia limited,2004,1
30437,china renaissance securities (hong kong) limited,hsbc corporate finance (hong kong) limited,2012,1
30438,macquarie capital limited,morgan stanley asia limited,2020,1
30439,mib securities (hong kong) limited,axial capital management limited,2006,1
30440,axial capital management limited,bgc securities (hong kong) llc,2012,1
30441,bgc securities (hong kong) llc,mib securities (hong kong) limited,2008,1
30442,xingtai capital management limited,lunar capital management limited,2010,1
30443,outset global (hong kong) limited,mib securities (hong kong) limited,2013,1
30444,mib securities (hong kong) limited,pearl bridge securities limited,2019,1
30445,mf securities hong kong limited,rhb securities hong kong limited,2010,1
30446,daiwa capital markets hong kong limited,bnp paribas securities (asia) limited,nan,1
30447,gf securities (hong kong) brokerage limited,oneplatform asset management limited,2011,1
30448,gf securities (hong kong) brokerage limited,anatole investment management limited,2017,1
30449,anatole investment management limited,everbright securities investment services (hk) limited,2011,1
30450,everbright securities investment services (hk) limited,china renaissance securities (hong kong) limited,2015,1
30451,china renaissance securities (hong kong) limited,ces forex (hk) limited,2012,1
30452,celetio investments limited,fulbright securities limited,2018,1
30453,ubs securities hong kong limited,huatai financial holdings (hong kong) limited,2015,1
30454,nexus investment management limited (hk),principal global investors (hong kong) limited,2006,1
30455,principal global investors (hong kong) limited,nexus investment management limited (hk),2007,1
30456,hsbc broking forex (asia) limited,value partners hong kong limited,2022,1
30457,manulife investment management (hong kong) limited,kgi asia limited,2006,1
30458,corporate brokers limited,csc securities (hk) limited,2009,1
30459,csc securities (hk) limited,dt securities & futures co. limited,2019,1
30460,dt securities & futures co. limited,fulbright securities limited,2014,1
30461,hou tak securities limited,anuenue securities limited,2007,1
30462,anuenue securities limited,metro capital securities limited,2008,1
30463,glory sun asset management limited,zhongrong international securities company limited,2017,1
30464,zhongrong international securities company limited,sbi china capital securities limited,nan,1
30465,sbi china capital securities limited,kingdom investment managers limited,2013,1
30466,js cresvale capital limited,galaxy asset management (h.k.) limited,2011,1
30467,core pacific - yamaichi international (h.k.) limited,kingsway financial services group limited,2005,1
30468,sino capital securities limited,cncb (hong kong) capital limited,2011,1
30469,avenue asset management limited (hk),cortina capital asset management limited,2021,1
30470,cortina capital asset management limited,avenue family office limited,2017,1
30471,china angel fund management (hk) company limited,qi yuan asset management (h.k.) limited,2008,1
30472,hsbc broking futures (asia) limited,sinopac securities (asia) limited,2018,1
30473,haitong international capital (hk) limited,ceb international capital corporation limited,2016,1
30474,kgi wealth management limited (d2017-10-03),bocom international securities limited,2015,1
30475,bocom international securities limited,kgi wealth management limited (d2017-10-03),2003,1
30476,bea union investment management limited,sumitomo mitsui ds asset management (hong kong) limited,2005,1
30477,arab capital (asia) limited,central wealth asset management limited,2019,1
30478,credit suisse securities (hong kong) limited,deutsche securities asia limited,nan,1
30479,gobi admiralty limited,hsbc corporate finance (hong kong) limited,2021,1
30480,hang seng investment management limited,"e fund management (hong kong) co., limited",2012,1
30481,hai tong securities (hk) brokerage limited,dongxing securities (hong kong) company limited,2017,1
30482,cinda international securities limited,vms securities limited,2021,1
30483,kgi asia limited,southwest securities (hk) brokerage limited,2015,1
30484,mega capital (asia) company limited,kingsway financial services group limited,nan,1
30485,kingsway financial services group limited,kgi wealth management limited (d2017-10-03),2004,1
30486,zenas capital management limited,mirae asset global investments (hong kong) limited,2010,1
30487,kpmg corporate finance limited,huatai financial holdings (hong kong) limited,2020,1
30488,huatai financial holdings (hong kong) limited,abci capital limited,2019,1
30489,bocom international securities limited,macquarie asia securities limited,2022,1
30490,evergrande securities (hong kong) limited,sinomax securities limited,2019,1
30491,everbright securities investment services (hk) limited,shun loong securities company limited,nan,1
30492,shun loong securities company limited,yicko securities limited,2003,1
30493,cmb wing lung asset management limited,silk road international capital limited,2021,1
30494,silk road international capital limited,right time asset management company limited,2020,1
30495,icbc credit suisse asset management (international) company limited,"innovation asset management co., limited",2021,1
30496,"innovation asset management co., limited",icbc credit suisse asset management (international) company limited,2018,1
30497,icbc credit suisse asset management (international) company limited,boci research limited,2012,1
30498,boci research limited,bnp paribas securities (asia) limited,2007,1
30499,bnp paribas securities (asia) limited,ubs asset management (hong kong) limited,2013,1
30500,"guosen securities (hk) brokerage company, limited",haitong international asset management (hk) limited,2010,1
30501,oshidori corporate finance limited,enhanced securities limited,2018,1
30502,china hanya asset management limited,ft securities limited,2006,1
30503,haitong international securities company limited,kingsway financial services group limited,2015,1
30504,kingsway financial services group limited,uni-century international securities limited,2018,1
30505,mirae asset securities (hk) limited,barclays capital asia limited,2012,1
30506,apeiron capital limited,elephas investment management limited,2016,1
30507,elephas investment management limited,hutchin hill capital hk limited,2015,1
30508,"china galaxy international securities (hong kong) co., limited",cgs-cimb securities (hong kong) limited,2018,1
30509,guotai junan securities (hong kong) limited,greater china capital limited,2022,1
30510,gl china equity hk management limited,china pinnacle equity management limited,2020,1
30511,"china galaxy international asset management (hong kong) co., limited",goldenwise capital group limited,2019,1
30512,bear stearns asia limited,nomura international (hong kong) limited,2008,1
30513,cinda international futures limited,clc futures limited,2017,1
30514,valuable capital limited,uob kay hian futures (hong kong) limited,2020,1
30515,uob kay hian futures (hong kong) limited,mib securities (hong kong) limited,2012,1
30516,bny mellon investment management hong kong limited,mellon global investments asia limited,2004,1
30517,mellon global investments asia limited,invesco hong kong limited,2013,1
30518,invesco hong kong limited,mellon global investments asia limited,2005,1
30519,pgim (hong kong) limited,amundi hong kong limited,2010,1
30520,amundi hong kong limited,pimco asia limited,2006,1
30521,merrill lynch (asia pacific) limited,goldman sachs (asia) l.l.c.,2021,1
30522,boci asia limited,merrill lynch far east limited,2012,1
30523,merrill lynch far east limited,china renaissance securities (hong kong) limited,2020,1
30524,j.p. morgan securities (far east) limited,credit suisse (hong kong) limited,2017,1
30525,credit suisse (hong kong) limited,merrill lynch far east limited,2021,1
30526,china international capital corporation hong kong securities limited,southwest securities (hk) futures limited,2020,1
30527,"china merchants securities (hk) co., limited",natixis asia limited,2021,1
